「実験心理学の父」と呼ばれるドイツ人心理学者。内観法を重視した。,ヴィルヘルム・ヴント,
アメリカで生まれた、4分の1マイルの直線路で加速力を競う自動車レース。,ドラッグレース,
自動車レースに出場する車両の分類・規格などについての公認審査のこと。,ホモロゲーション,
長さ、面積、体積および質量の単位、標準、ならびにこれらの計量器について定められた慣習や制度。,度量衡,
「ー（みずのと）」,癸,
「ー刻(キコク)」「ーむ（きざむ）」,剞,
「ーく（なげく）」「ー噓(キキョ)」,唏（欷）（よく似た晞は「かわく」）,
「歸（旧字体）」,帰,
「ーの事に（すんで）」,既,
「ー旧（キキュウ）」「ーいる（おいる）」「ー欲（シヨク）」「ーむ（たしなむ）」,耆,
「ー悸（ドウキ）」「ーれる（おそれる）」,悸,
「ーく（ひく）」「ー角（キカク）」,掎,
「ー（まめがら）」「豆ー（トウキ）」,萁,
「ーてる（つまだてる）」「ー踵(キショウ)」,跂,
「ー（みち）」「鍾ー(ショウキ)」,馗,
「ー（ためいき）」「ー然（キゼン）」,喟,
「ーど（ほとんど）」「ーう（こいねがう）」「ーら（いくら）」,幾,
「ー毫（キゴウ）」「ーう（ふるう）」,揮,
「ー（はかりごと）」「ーる（はかる）」「一ー（イッキ）」,揆,
「ーり（ひとまわり）」「ー年（キネン）」,朞,
「ー向（キコウ）」「ー（あおい）」,葵,
「ー（おおじ）」「大ー（タイキ）」,逵,
「ー（はじ）」「ー赧（キタン）」,愧,
「ー（ひかり）」「ーく（かがやく）」「春ー（シュンキ）」,暉,
「ーつ（こぼつ）」「ーる（そしる）」「ー損（キソン）」,毀,
「ー人（キジン）」「ーり（あまり）」,畸,
「ーる（いつわる）」「ー弁（キベン）」,詭,
「ーく（ひざまずく）」「ー拝（キハイ）」,跪,
「ー（ひつ）」「ー乏（キボウ）」,匱,
「ー（ちりとり）」「ー帚（キソウ、ちりとり）」「ー（み）」,箕,
「ー（あや）」「ー語（キゴ）」,綺,
「ー（あやぎぬ）」「ー巾（キキン）」,綦,
「ー（ツキ、ニレ科の落葉高木）」,槻,
「ーし（たけし）」「ーい（つよい）」「英ー（エイキ）」,毅,
「ーる（ひかる）」「光ー（コウキ）」,熙,
「ー（みやこ）」「ー内（キナイ）」,畿,
「ー（あぐら）」「ー踞(キキョ)」,踑,
「ー（さしずばた）」「ーく（さしまねく）」「ー鉞（キエツ）」,麾,
英国の土木・造船技術者。グレート・ウェスタン号（世界最初の大西洋定期汽船）などを建造した。,イザムバード・キングダム・ブルネル,
1950年代に見られるようになった建築様式。荒々しさを残した打放しコンクリートなどを用いた彫塑的な表現を特徴とする。モダニズム建築が本来の機能主義を離れる傾向があった事に対して生まれた。,ブルータリズム,
円を基調としたロゴタイプやシンボルのこと。蛇の目と通称されることもある軍用機の国籍マークに代表されるほか、ロンドン地下鉄などにも採用されている。,ラウンデル,
イギリスとヨーロッパ大陸を結ぶ高速列車。,ユーロスター,
写真の四隅や輪郭をぼかしたもの。また、その効果。,ビネット,
迷器ともいう。硬骨魚キノボリウオ類の上鰓器官で，キノボリウオが陸上に出たとき，口から吸込んだ空気を呼吸する補助呼吸器官となる。,迷路器官,
自発的に生じる空間的パターンのこと。サバやジンベエザメなどの模様を説明できる。,チューリングパターン,
生物に測器を取り付けてその行動や生態を調査する手法。,バイオロギング,
水域の生物のうち、水面を生息の場とするもの。,ニューストン,
液体の運動によって、液中が局部的に低圧となって、気泡を生じる現象。,キャビテーション,
生体のもつ優れた機能や形状を模倣し、工学・医療分野に応用すること。,バイオミメティクス,
ギリシア神話の復讐の女神たち。クロノスがウラノスの局部を切落したときの血のしたたりを受けた大地から生れたとされる。普通はアレクト，ティシフォネ，メガイラの3人とされる,エリニュス,
ギリシア神話の英雄。ゼウスがアソポス川の娘アイギナをさらったのをみて，父の河神に告げ口したうえに，これを罰しようとしてゼウスが彼のもとに送った死神タナトスを捕え，その解放を強制されて死ななければならないはめに陥っても，冥府でハデスをだまし，また地上に帰り長生きしてしまうなど，生前に神々を愚弄し続けたため，死後冥府で，頂上に着くとまた転がり落ちてくる岩を何度でも山の上に押上げる苦役に服すことになった。,シシュフォス,
インターネットからLANへの不正侵入の実態を把握するために、おとり調査のような形で不正侵入者の行動を記録するシステム。,ハニーポット,
コンピュータのセキュリティ上、問題となりそうなソフトウェアの欠陥のこと。,セキュリティホール,
鎖式化合物（脂肪族化合物）の主鎖（もっとも長い鎖）から枝分れしている炭素鎖のこと。よくRで表される。,側鎖,
動物が自分の体内では合成できず，食物として摂取しなければならないアミノ酸。,必須アミノ酸,
 蛋白質を構成しているアミノ酸の結合形式。二つのアミノ酸の一方のアミノ基と他方のカルボキシル基から水分子を失ってできた結合。,ペプチド結合,
タンパク質分子のポリペプチド鎖がとる基本的な構造。アミノ酸残基のカルボニル基とイミノ基間の水素結合により，らせん構造が形成される。平面的なβシートも知られる。,αヘリックス,
S-S結合．SH基を有するアミノ酸であるシステインどうしの結合で，ペプチドやタンパク質の立体構造の安定化に寄与する。,ジスルフィド結合,
